right,left
587,596
587,577
567,575
575,568
571,562
560,557
552,562
553,548
548,534
527,529
525,528
527,518
522,511
511,499
505,492
502,490
501,480
479,475
476,468
470,454
468,456
452,443
453,436
443,432
447,419
425,421
420,406
410,409
402,397
400,385
394,378
381,367
379,361
374,358
361,343
352,337
342,332
340,319
330,311
322,308
315,299
301,293
295,280
285,275
275,265
273,261
259,251
255,241
245,235
234,222
223,217
217,210
206,201
196,192
190,181
182,173
173,166
162,156
153,147
145,139
134,135
123,124
118,120
111,111
102,103
95,95
84,89
77,77
