right,left
642,641
637,631
642,626
630,626
610,617
609,619
639,614
626,617
599,602
598,591
614,586
601,588
583,582
601,570
574,563
579,560
569,559
575,559
544,538
546,535
539,532
555,529
530,514
513,516
522,507
518,503
509,496
516,490
501,487
490,477
488,472
485,471
458,459
473,461
465,455
455,446
448,437
446,433
441,424
432,424
421,410
413,408
415,402
413,397
396,385
391,377
387,373
384,362
369,362
365,357
360,349
349,343
345,336
337,326
329,319
326,310
317,304
308,297
302,293
296,288
288,277
274,271
274,260
262,253
257,246
248,234
241,232
233,223
228,213
222,207
212,202
200,193
193,184
184,176
178,169
170,162
164,155
155,152
149,144
141,133
133,128
127,120
119,111
108,104
103,99
94,91
88,82
81,75
69,67
