right,left
647,639
641,640
657,630
633,631
629,628
632,622
615,600
607,605
604,596
601,580
589,583
588,581
581,571
577,564
562,566
555,553
549,545
543,529
537,527
537,515
529,527
512,508
517,509
499,499
507,490
493,485
476,477
474,474
470,463
459,453
451,452
455,442
442,431
426,432
425,421
420,418
405,410
406,403
400,391
385,390
380,383
368,371
362,367
352,359
344,348
338,341
333,332
319,324
315,314
305,305
299,300
289,290
279,278
270,271
266,263
255,252
246,243
235,236
225,229
214,217
207,211
200,199
189,193
181,183
168,176
162,166
151,158
145,150
131,142
124,131
113,124
106,114
96,104
